breakpoints,primitives,points
0,movej_fit,"[array([ 0.3120923 ,  0.27688859,  0.40240991,  0.6676647 , -0.49953974,
       -0.52210179])]"
421,movel_fit,"[array([2200.,  416., 1000.])]"
841,movel_fit,"[array([2200.,  332., 1000.])]"
1261,movel_fit,"[array([2200.,  248., 1000.])]"
1681,movel_fit,"[array([2200.,  164., 1000.])]"
2102,movel_fit,"[array([2200.00019469,   79.80459036, 1000.        ])]"
2901,movec_fit,"[array([2210.25058433,    2.5395806 , 1000.        ]), array([2240.10223758,  -69.45924591, 1000.        ])]"
3321,movel_fit,"[array([2282.        , -142.02816622, 1000.        ])]"
3741,movel_fit,"[array([2324.        , -214.77430014, 1000.        ])]"
4161,movel_fit,"[array([2366.        , -287.52043406, 1000.        ])]"
4581,movel_fit,"[array([2408.        , -360.26656797, 1000.        ])]"
5001,movel_fit,"[array([2450.        , -433.01270189, 1000.        ])]"
